name,category 1,category 2,category 3,cuisine 1,cusine 2,address,phone,map
Katsu,Restaurant,,,Japanese,,"1013 Manhattan Avenue, Brooklyn NY 11222",718.389.2300,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1013+Manhattan+Avenue,+Brooklyn+NY+11222&sll=40.715875,-73.96127&sspn=0.007709,0.019312&ie=UTF8&ll=40.734966,-73.954833&spn=0.007707,0.019312&z=16&iwloc=addr"
Kellogg's Diner,Restaurant,,,Diner,Comfort,"518 Metropolitan Avenue, Brooklyn, NY 11211",718.782.4502,"http://maps.google.com/maps?q=518+Metropolitan+Ave.,+Brooklyn,+NY+11211&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1&iwloc=addr"
Kenny's Trattoria,Restaurant,,,Italian,,"7 Withers Street, Brooklyn NY 11211",718.388.6588,"http://maps.google.com/maps?hl=en&q=7+Withers+Street+brooklyn+ny&ie=UTF8&ll=40.717355,-73.952386&spn=0.008587,0.016372&z=16"
Khao Sarn,Restaurant,,,Thai,,"311 Bedford Avenue, Brooklyn, NY 11211",718.963.1238,"http://maps.google.com/maps?f=q&hl=en&q=311+Bedford+Avenue,+Brooklyn+NY+11211&ie=UTF8&z=15&ll=40.713273,-73.961892&spn=0.023486,0.05373&om=1&iwloc=addr"
Kings County,Bar,,,,,"286 Seigel Street, Brooklyn, NY 11206",718.418.8823,"http://www.google.com/maps?q=286+Seigel+St,+Brooklyn,+New+York+11206,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
La Locanda,Restaurant,,,Italian,,"432 Graham Avenue, Brooklyn, NY 11211",718.349.7800,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=432+Graham+Avenue,+Brooklyn,+NY+11211&sll=40.734966,-73.954833&sspn=0.007707,0.019312&ie=UTF8&ll=40.71929,-73.944919&spn=0.007709,0.019312&z=16&iwloc=addr"
La Nonna,Restaurant,,,Pizza/Italian,,"237 Bedford Avenue, Brooklyn, NY 11211 ",718.302.5353,"http://maps.google.com/maps?q=237+Bedford+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
La Piazzetta,Restaurant,,,Italian,Pizza,"442 Graham Avenue, Brooklyn, NY 11211",718.349.1627.,"http://maps.google.com/maps?q=442+Graham+Avenue,+Brookly,+NY+11211&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1&iwloc=addr"
La Superior,Restaurant,,,Mexican,,"295 Berry Street, Broooklyn, NY 11211",718.388.5988,http://maps.google.com/maps?q=295%20Berry%20Street&ie=UTF-8&oe=utf-8&rls=org.mozilla:en-US:official&client=firefox-a&um=1&sa=N&tab=wl
La Villita,Restaurant,,,Spanish,Baker,"171 Grand Street, Brooklyn, NY 11211",718 486.8761 ,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=171+Grand+Street,+Brooklyn,+NY+11211&sll=40.71929,-73.944919&sspn=0.007709,0.019312&ie=UTF8&ll=40.717778,-73.954747&spn=0.007709,0.019312&z=16&iwloc=addr"
Lady Octopus,Restaurant,,,Seafood,Sushi,"495 Lorimer Street, Brooklyn, NY 11211",718 384.2437,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=495+Lorimer+Street,+Brooklyn,+NY+11211&sll=40.717778,-73.954747&sspn=0.007709,0.019312&ie=UTF8&ll=40.715257,-73.95215&spn=0.007709,0.019312&z=16&iwloc=addr"
Laila Lounge,Bar,,,,,"113 North 7th Street, Brooklyn, NY 11211 ",718.486.6791,"http://maps.google.com/maps?ie=UTF8&oe=UTF-8&client=firefox-a&q=113+North+7th+Street,+Brooklyn,+NY+11211&z=16&om=1&iwloc=addr"
Lamb & Jaffy,Restaurant,,,American,,"1073 Manhattan Avenue, Brooklyn, NY 11222",718.389.3638,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1073+Manhattan+Avenue,+Brooklyn,+NY+11222&sll=40.715257,-73.95215&sspn=0.007709,0.019312&ie=UTF8&ll=40.736755,-73.955133&spn=0.007707,0.019312&z=16&iwloc=addr"
Larry Lawrence,Bar,,,,,"295 Grand Street, Brooklyn, NY 11211 ",718.218.7866,"http://www.google.com/maps?q=295+Grand+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&om=1&iwloc=addr"
Latin Cuisine,Restaurant,,,Mexican,,"804 Grand Street, Brooklyn, NY 11211",718.302.6146,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=804+Grand+Street,+Brooklyn,+NY+11211&sll=40.736755,-73.955133&sspn=0.007707,0.019312&ie=UTF8&ll=40.712915,-73.941185&spn=0.007709,0.019312&z=16&iwloc=addr"
Lazy Catfish,Restaurant,,,Southern,Comfort,"593 Lorimer Street, Brooklyn, NY 11211",718.599.9055,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=593+Lorimer+Street,+Brooklyn,+NY+1121&sll=40.712915,-73.941185&sspn=0.007709,0.019312&ie=UTF8&ll=40.715712,-73.946013&spn=0.007709,0.019312&z=16&iwloc=addr"
Le Barricou,Restaurant,,,French Bistro,,"533 Grand Street, Brooklyn, NY 11211",718.782.7372,"http://www.google.com/maps?q=533+Grand+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Legion,Bar,,,,,"790 Metropolitan Avenue, Brooklyn , NY 11211",n/a,"http://maps.google.com/maps?q=790+Metropolitan+Ave,Brooklyn+%2C+NY+11211"
Lenora's Way,Bar,,,,,"303 Bedford Avenue, Brooklyn, NY 11211",718.963.3435,"http://maps.google.com/maps?oi=map&q=303+Bedford+Avenue,Brooklyn,NY%2011211"
Life Cafe,Restaurant,,,Bar Food,Comfort,"983 Flushing Avenue, Brooklyn, NY 11206",718.386.1133,"http://maps.google.com/maps?hl=en&lr=&safe=off&client=firefox-a&q=Life+Cafe+brooklyn&ie=UTF8&oe=UTF-8&z=12&ll=40.687928,-73.950005&spn=0.182492,0.32135&om=1&iwloc=A"
Life Cafe,Bar,,,,,"983 Flushing Avenue, Brooklyn, NY 11206",718.386.1133,"http://www.google.com/maps?q=983+Flushing+Ave,+Brooklyn,+New+York+11206,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Lily Thai,Restaurant,,,Thai,,"615 Grand Street, Brooklyn, NY 11211",718.218.7534,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=615+Grand+Street,+Brooklyn+NY+11211&sll=40.704018,-73.933182&sspn=0.00771,0.019376&ie=UTF8&ll=40.712313,-73.940864&spn=0.00771,0.019376&z=16&iwloc=addr"
Lite Bites,Restaurant,,,Sandwiches,,"700 Manhattan Avenue, Brooklyn, NY 11222",718.383.2820,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=700+Manhattan+Avenue,+Brooklyn,+NY+11222&sll=40.715712,-73.946013&sspn=0.007709,0.019312&ie=UTF8&ll=40.726868,-73.951721&spn=0.007708,0.019312&z=16&iwloc=addr"
Lockinn,Bar,,,,,"949 Grand Street, Brooklyn, NY 11211 ",718.302.0810,"http://www.google.com/maps?f=q&hl=en&q=949+Grand+St.,+Brooklyn,+NY+11211+&sll=40.717831,-73.959247&sspn=0.010555,0.019913&ie=UTF8&z=16&iwloc=addr&om=1"
Lodge,Restaurant,,,American,Brunch,"318 Grand Street, Brooklyn, NY 11211",718.486.9400,"http://www.google.com/maps?q=318+Grand+St,+Brooklyn,+NY+11211&ie=UTF8&z=15&om=1&iwloc=addr"
Lokal,Restaurant,,,Mediterranean,,"905 Lorimer Street, Brooklyn, NY 11222",718.384.6777,"http://maps.google.com/maps?q=905+Lorimer+St,+Brooklyn,+NY+11222,+USA&sa=X&oi=map&ct=title"
Lost & Found,Bar,,,,,"113 Franklin Street, Brooklyn, NY 11222 ",718.383.6000,"http://www.google.com/maps?q=113+Franklin+St,+Brooklyn,+New+York+11222,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Lulu Lounge,Bar,,,,,"134 North 6th Street, Brooklyn NY 11211",718.218.7889,"http://www.google.com/maps?q=134+N+6th+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Luna Lounge,Bar,Music Venue,,,,"361 Metropolitan Avenue, Brooklyn, NY 11211",212.260.2323,"http://www.google.com/maps?q=361+Metropolitan+Ave,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
M - Shanghai Bistro,Restaurant,Bar,,Chinese,,"129 Havermayer Street, Brooklyn, NY 11211",718.384.9300,"http://www.google.com/maps?q=129+Havemeyer+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Magda International Cafe,Restaurant,,,Mexican,American,"454 Graham Avenue, Brooklyn, NY 11211",718.389.7497,"http://maps.google.com/maps?f=q&hl=en&q=311+Graham+Avenue&sll=40.714737,-73.949704&sspn=0.011857,0.020084&ie=UTF8&z=16&ll=40.717875,-73.949704&spn=0.011856,0.020084&om=1&iwloc=C"
Mamalu,Restaurant,,,Sandwiches,,"232 North 12th Street, Brooklyn, NY 11211",718.486.6312,"http://www.google.com/maps?q=232+N+12th+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Mamtajmahal,Restaurant,,,Indian,,"135b North 5th Street, Brooklyn, NY 11211",718.599.1100,"http://www.google.com/maps?q=135+N+5th+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Maracuja,Bar,,,,,"279 Grand Street, Brooklyn, NY 11211",718.302.9023,"http://www.google.com/maps?q=279+Grand+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Marlow & Sons,Restaurant,,,American,,"81 Broadway, Brooklyn, NY 11211",718.384.1441 ,"http://maps.google.com/maps?f=q&hl=en&q=81+Broadway,+Brooklyn,+NY+11211&ie=UTF8&z=15&ll=40.710638,-73.965797&spn=0.023715,0.054245&om=1&iwloc=addr"
Matamoros Puebla Taqueria y Grocery,Restaurant,,,Mexican,,"193 Bedford Avenue, Brooklyn, NY 11211 ",718.782.5044 ,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=193+Bedford+Avenue,+Brooklyn,+NY+11211+&sll=40.726868,-73.951721&sspn=0.007708,0.019312&ie=UTF8&ll=40.71851,-73.958094&spn=0.007709,0.019312&z=16&iwloc=addr"
Matchless,Bar,Music Venue,,,,"557 Manhattan Avenue, Brooklyn, NY 11222",718.383.5333,"http://www.google.com/maps?f=q&hl=en&q=557+Manhattan+Ave.,+Brooklyn,+NY+11222+&sll=40.714595,-73.943642&sspn=0.010995,0.019913&ie=UTF8&ll=40.721112,-73.943717&spn=0.010994,0.019913&z=16&iwloc=addr&om=1"
Metropolitan Bar,Bar,,,,,"559 Lorimer Street, Brooklyn, NY 11211 ",718.599.4444,"http://www.google.com/maps?f=q&hl=en&q=559+Lorimer+St.,+Brooklyn,+NY+11211+&sll=40.721112,-73.943717&sspn=0.010994,0.019913&ie=UTF8&ll=40.719063,-73.943803&spn=0.010994,0.019913&z=16&iwloc=addr&om=1"
Miranda,Restaurant,,,Italian,,"80 Berry Street, Brooklyn, NY 11211",718.387.0711,"http://maps.google.com/maps?q=80+Berry+St,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Miss Favela,Restaurant,,,Brazilian,,"57 South 5th Street, Brooklyn, NY 11211",718.230.4040,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=57+South+Fifth+Street,+Brooklyn,+NY&sll=37.0625,-95.677068&sspn=51.443116,78.486328&ie=UTF8&z=14&iwloc=addr&ll=40.721697,-73.962021&source=embed"
Miyako,Restaurant,,,Sushi,,"143 Berry Street, Brooklyn, NY 11211",718.486.0837,"http://www.google.com/maps?q=143+Berry+St,+Brooklyn,+NY+11211&ie=UTF8&z=15&om=1"
Mizu,Restaurant,,,Sushi,,"192 Bedford Avenue, Brooklyn, NY 11211",718.782.6666,"http://maps.google.com/maps?q=192+Bedford+Ave,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Mojito Loco,Restaurant,,,Latin American,,"102 Meserole Street, Brooklyn, NY 11206",718.963.2960,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=102+Meserole+Street,+Brooklyn,+NY+11206&sll=40.71851,-73.958094&sspn=0.007709,0.019312&ie=UTF8&ll=40.709206,-73.945885&spn=0.00771,0.019312&z=16&iwloc=addr"
Monkey Town,Restaurant,Bar,,American,,"58 North 3rd Street, Brooklyn, NY 11211",718.384.1369,"http://maps.google.com/maps?oi=map&q=58%2BN%2B3rd%2BSt,%2BBrooklyn,%2BNY%2B11211"
Moto,Restaurant,Bar,,American,,"349 Broadway, Brooklyn, NY 11211",718.599.6895,"http://www.google.com/maps?q=349+Broadway,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Motorino,Restaurant,,,Pizza,,"319 Graham Avenue, Brooklyn, NY 11211",718.599.8899 ,"http://maps.google.com/maps?q=319+Graham+Avenue,+Brooklyn,+NY+11211&ie=UTF8&oe=utf-8&client=firefox-a&z=16&iwloc=addr"
Mugs Ale House,Bar,Restaurant,,,,"125 Bedford Avenue, Brooklyn, NY 11211",718.384.8494,"http://www.google.com/maps?f=q&hl=en&q=mug's+ale+house&sll=40.719524,-73.955902&sspn=0.010555,0.019913&ie=UTF8&z=16&iwloc=A&om=1"
Mulholland's,Restaurant,Bar,,Bar Food,,"312 Grand Street, Brooklyn, NY 11211",718.486.3473,http://maps.google.com/maps?hl=en&output=html&q=312+grand+street+brooklyn%2C+ny+11211&btnG=Search
My Moon,Restaurant,Bar,,Mediterranean,,"184 North 10th Street, Brooklyn, NY 11211",718.599.7007,"http://www.google.com/maps?q=184+N+10th+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Mykonos,Restaurant,,,Mediterranean,,"253 Grand Street, Brooklyn, NY 11211",718.302.3006,"http://maps.google.com/maps?f=q&hl=en&q=253+Grand+Street,+brooklyn+ny,+11211&ie=UTF8&z=15&ll=40.7135,-73.958545&spn=0.023714,0.054245&om=1&iwloc=addr"
n.6,Restaurant,,,Italian,,"263 North 6th Street, Brooklyn, NY 11211 ",718.384.1311,"http://www.google.com/maps?q=263+N+6th+St,+Brooklyn,+NY+11211&ie=UTF8&z=15&om=1&iwloc=addr"
Nina's,Restaurant,,,Pizza,,"486 Metropolitan Avenue, Brooklyn, NY 11211",718.387.8877,"http://www.google.com/maps?f=q&hl=en&q=486+Metropolitan+Avenue,+Brooklyn+NY+11211&ie=UTF8&z=15&ll=40.713923,-73.952236&spn=0.022803,0.054245&om=1&iwloc=addr"
Nita Nita,Restaurant,Bar,,Spanish,Tapas,"146 Wythe Avenue, Brooklyn, NY 11211",718.388.5328,"http://maps.google.com/maps?q=146+Wythe+Ave&ie=UTF8&oe=utf-8&client=firefox-a&ll=40.721339,-73.959832&spn=0.007058,0.01442&z=16&iwloc=addr"
Noodle Studio,Restaurant,,,Thai,,"116 North 5th Street, Brooklyn, 11211",718.218.7260,"http://maps.google.com/maps?f=q&hl=en&q=116+N+5th+St&sll=40.716992,-73.958819&sspn=0.021663,0.03974&ie=UTF8&z=15&om=1&iwloc=A"
Nori's Sushi & Cafe,Restaurant,,,Japanese,Sushi,"354 Graham Avenue, Brooklyn, NY 11211",718.302.5159,"http://www.google.com/maps?q=354+Graham+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Northeast Kingdom,Restaurant,,,American,,"18 Wyckoff Ave, Brooklyn, NY 11237",718 386.3864,"http://maps.google.com/maps?ie=UTF8&oe=UTF-8&client=firefox-a&q=18+Wyckoff+Ave,+Brooklyn,+NY+11237&om=1&z=15&iwloc=addr"
Oak Wine Bar & Cafe,Restaurant,,,American,,"361 Graham Avenue, Brooklyn, NY 11211",718.387.1245,"http://www.google.com/maps?q=361+Graham+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&ll=40.715338,-73.944511&spn=0.010848,0.020084&z=16&iwloc=addr&om=1"
Oasis,Restaurant,,,Mediterranean,,"161 North 7th Street, Brooklyn, NY 11211",718 218.7607 ,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=161+North+7th+Street,+Brooklyn,+NY+11211&sll=40.71916,-73.957601&sspn=0.007709,0.019312&ie=UTF8&ll=40.71916,-73.957601&spn=0.007709,0.019312&z=16&iwloc=addr"
OTT,Restaurant,,,Thai,,"970 Manhattan Avenue, Brooklyn, NY 11222",718.609.2416,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=970+Manhattan+Avenue,+Brooklyn,+NY+11222&sll=40.71916,-73.957601&sspn=0.007709,0.019312&ie=UTF8&ll=40.733682,-73.954575&spn=0.007707,0.019312&z=16&iwloc=addr"
Oulo,Bar,,,,,"160 North 4th Street, Brooklyn NY 11211",718.233.1340,"http://www.google.com/maps?q=160+N+4th+St,+Brooklyn,+New+York+11211,+USA&sa=X&oi=map&ct=title"
Palace Caf,Bar,,,,,"206 Nassau Avenue, Brooklyn, NY 11222",718.383.9848,"http://www.google.com/maps?f=q&hl=en&q=206+Nassau+Ave.,+Brooklyn,+NY+11222&sll=40.729161,-73.953116&sspn=0.010992,0.019913&ie=UTF8&ll=40.729031,-73.95082&spn=0.010992,0.019913&z=16&iwloc=addr&om=1"
Paloma,Restaurant,,,American,Vegetarian,"60 Greenpoint Avenue, Brooklyn, NY 11222",718.349.2400,"http://www.google.com/maps?q=60+Greenpoint+Ave,+Brooklyn,+NY+11222,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Pampa Grill,Restaurant,,,Latin American,,"372 Graham Avenue, Brooklyn, NY 11211",718.387.7405,"http://maps.google.com/maps?q=372+Graham+Ave,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Papa Lima,Restaurant,,,Sandwiches,,"362 Bedford Avenue, Brooklyn, NY 11211",718.218.7720,"http://maps.google.com/maps?q=362+Bedford+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Park Luncheonette,Restaurant,,,American,,"334 Driggs Avenue, Brooklyn, NY 11222",718.383.3571 ,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=334+Driggs+Avenue,+Brooklyn,+NY+11222&sll=40.733682,-73.954575&sspn=0.007707,0.019312&ie=UTF8&ll=40.722722,-73.950691&spn=0.007708,0.019312&z=16&iwloc=addr"
Pencil Factory,Bar,,,,,"142 Franklin Street, Brooklyn, NY 11222",718.609.5858,"http://maps.google.com/maps?q=142+Franklin+St.,+Brooklyn,+NY+11222&ie=UTF8&oe=UTF-8&client=firefox-a&z=16&iwloc=addr&om=1"
Pete's Candy Store,Bar,Music Venue,Restaurant,Sandwiches,,"709 Lorimer Street, Brooklyn, NY 11211",718.302.3770,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=709+Lorimer+Street,+Brooklyn,+NY+11211&sll=40.722722,-73.950691&sspn=0.007708,0.019312&ie=UTF8&ll=40.719453,-73.950219&spn=0.007709,0.019312&z=16&iwloc=addr"
Peter Luger Steakhouse,Restaurant,,,Steakhouse,,"178 Broadway, Brooklyn, NY 11211",718.387.7400,"http://www.google.com/maps?q=178+Broadway,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Peter's Since 1969,Restaurant,,,American,Comfort,"168 Bedford Avenue, Brooklyn, NY 11211",718.388.2811,"http://maps.google.com/maps?client=opera&rls=en&sourceid=opera&ie=UTF-8&oe=utf-8&q=168+Bedford+Ave,+Brooklyn,+NY+11211,+USA&um=1&sa=X&oi=geocode_result&resnum=1&ct=title"
Phoebe's Cafe,Restaurant,,,Vegetarian,Coffee,"323 Graham Avenue, Brooklyn, NY 11211",718.599.3218,"http://maps.google.com/maps?q=323+Graham+Ave,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Pies and Thighs,Restaurant,,,Southern,Comfort,n/a,347.282.6005,"http://www.google.com/maps?q=351+Kent+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Planet Thailand,Restaurant,,,Thai,Sushi,"141 North 7th Street, Brooklyn, NY 11211",718.599.5758,http://maps.google.com/maps?ie=UTF8&om=1&q=141+North+7th+Street&oe=UTF-8&z=15&iwloc=A
Potion Cafe,Restaurant,,,Sandwiches,,"248 McKibbin Street, Brooklyn, NY 11206",718.628.5470,"http://www.google.com/maps?q=248+McKibbin+St,+Brooklyn,+NY+11206,+USA&ie=UTF8&om=1&layer=c&cbll=40.705681,-73.937157&ll=40.705677,-73.937151&spn=0.01124,0.020084&z=16"
PT Restaurant,Restaurant,,,Italian,,"331 Bedford Avenue, Brooklyn, NY 11211",718 388.7438,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=331+Bedford+Avenue,+Brooklyn,+NY+11211&sll=40.719453,-73.950219&sspn=0.007709,0.019312&ie=UTF8&ll=40.715875,-73.955884&spn=0.007709,0.019312&z=16&iwloc=addr"
Public Assembly,Bar,Music Venue,,,,"70 North 6th Steet, Brooklyn, NY 11211 ",718.384.4586,"http://www.google.com/maps?q=70+N+6th+St,+Brooklyn,+New+York+11211,+USA&sa=X&oi=map&ct=title"
Pumps Bar,Bar,,,,,"1089 Grand Street, Brooklyn, NY 11211",718.599.2474,"http://www.google.com/maps?q=1089+Grand+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Qoo Robata Bar,Restaurant,,,Japanese Izakaya,,"367 Metropolitan Avenue, Brooklyn, NY 11211",718.384.9493,"http://maps.google.com/maps?hl=en&safe=off&client=firefox-a&q=367+Metropolitan+Av,+Brooklyn+New+York+11211&ie=UTF8&z=16&iwloc=addr"
R Bar,Bar,,,,,"451 Meeker Avenue, Brooklyn, NY 11222",718.486.6116,"http://www.google.com/maps?q=451+Meeker+Ave,+Brooklyn,+New+York+11222,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Radegast Hall & Biergarten,Bar,Restaurant,,German,,"113 North 3rd Street, Brooklyn, NY 11211",718.963.3973,"http://maps.google.com/maps?q=113+N+3rd+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Raymund's Place,Restaurant,,,Polish,,"124 Bedford Avenue, Brooklyn, NY 11211",718.388.4200,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=124+Bedford+Avenue,+Brooklyn,+NY+11211&sll=40.73469,-73.958137&sspn=0.007707,0.019312&ie=UTF8&ll=40.720933,-73.955905&spn=0.007709,0.019312&z=16&iwloc=addr"
Red Bowl,Restaurant,,,Pan-Asian,,"208 Bedford Avenue, Brooklyn, NY 11211 ",718.388.8898,"http://maps.google.com/maps?q=208+Bedford+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Redd's Tavern,Bar,,,,,"511 Grand Street, Brooklyn, NY 11211",718.218.9429,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=511+Grand+Street,+Brooklyn,+NY+11211&sll=40.717875,-73.960733&sspn=0.007709,0.019312&ie=UTF8&ll=40.712785,-73.956485&spn=0.007709,0.019312&z=16&iwloc=addr"
Relish,Restaurant,,,Southern,Comfort,"225 Wythe Avenue, Brooklyn, NY 11211",718.963.4546,"http://www.google.com/maps?q=225+Wythe+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
River Barrel,Restaurant,,,American,,"160 Franklin Street, Brooklyn, NY 11222",718.389.8881,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=160+Franklin+Street+greenpoint&sll=37.0625,-95.677068&sspn=38.638819,67.851563&ie=UTF8&ll=40.730641,-73.957686&spn=0.009041,0.016565&z=16&iwloc=addr"
Roberta's,Restaurant,,,Italian,Pizza,"261 Moore Street, Brooklyn, NY 11206",718.417.1118,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=261+Moore+St,+Brooklyn,+NY+11206&sll=40.720933,-73.955905&sspn=0.007709,0.019312&ie=UTF8&ll=40.705986,-73.933547&spn=0.00771,0.019312&z=16&iwloc=addr"
Rock Star Bar,Bar,Music Venue,,,,"351 Kent Avenue, Brooklyn, NY 11211",718.384.8730,"http://www.google.com/maps?q=351+Kent+Ave,+Brooklyn,+New+York+11211,+USA&sa=X&oi=map&ct=title"
Roebling Tea Room,Restaurant,Bar,,Sandwiches,,"143 Roebling Street, Brooklyn, NY 11211",718.963.0760,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=143+Roebling+Street,+Brooklyn,+NY+11211&sll=40.705986,-73.933547&sspn=0.00771,0.019312&ie=UTF8&ll=40.715777,-73.957601&spn=0.007709,0.019312&z=16&iwloc=addr"
Rose Live Music,Bar,Restaurant,,Mediterranean,,"345 Grand Street, Brooklyn, NY 11211",718.599.0069,"http://www.google.com/maps?q=345+Grand+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&om=1&z=16"
Royal Oak,Bar,Music Venue,,,,"594 Union Avenue, Brooklyn, NY 11211",718.388.3884,"http://www.google.com/maps?f=q&hl=en&q=royal+oak+bar&sll=40.718071,-73.958566&sspn=0.010018,0.019913&ie=UTF8&ll=40.718249,-73.958566&spn=0.010018,0.019913&z=16&iwloc=A&om=1"
Sal's Pizzeria,Restaurant,,,Italian,Pizza,"544 Lorimer Street, Brooklyn, NY 11211 ",718.388.6838 ,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=544+Lorimer+Street,+Brooklyn,+NY+11211+&sll=40.715777,-73.957601&sspn=0.007709,0.019312&ie=UTF8&ll=40.714606,-73.953094&spn=0.007709,0.019312&z=16&iwloc=addr"
Samurai,Restaurant,,,Japanese,,"149 North 6th Street, Brooklyn, NY 11211",718.302.6232,"http://www.google.com/maps?q=149+N+6th+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&om=1"
San Loco,Restaurant,,,Mexican,,"160 North 4th Street, Brooklyn, NY 11211",718.218.8479,"http://maps.google.com/maps?f=q&hl=en&q=san+loco&sll=40.726316,-73.979959&sspn=0.033628,0.080338&ie=UTF8&z=14&ll=40.721632,-73.948717&spn=0.033631,0.080338&om=1&iwloc=C"
Santorini Grill,Restaurant,,,Mediterranean,,"167 Grand Street, Brooklyn, NY 11211",718.388.3668,"http://maps.google.com/maps?q=167+Grand+St,+++Brooklyn+11211&ie=UTF8&oe=utf-8&client=firefox-a&ll=40.715289,-73.961442&spn=0.008587,0.016565&z=16&g=167+Grand+St,+++Brooklyn+11211&iwloc=addr"
Sapporo Haru,Restaurant,,,Japanese,,"622 Manhattan Avenue, Brooklyn, NY 11211",718.389.9697,"http://maps.google.com/maps?f=q&hl=en&q=622+Manhattan+Avenue&sll=40.716992,-73.958819&sspn=0.022834,0.040169&ie=UTF8&z=15&ll=40.722543,-73.958802&spn=0.022832,0.040169&om=1&iwloc=A"
Savalas,Bar,,,,,"285 Bedford Avenue, Brooklyn, NY 11211",718.599.5565,"http://www.google.com/maps?q=285+Bedford+Ave,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Sea,Restaurant,,,Thai,,"114 North 6th Street, Brooklyn, NY 112111",718.384.8850 ,"http://maps.google.com/maps?f=q&hl=en&q=114+North+6th+Street,+brooklyn+NY+11211&ie=UTF8&om=1&z=15&iwloc=addr"
Shachis Restaurant,Restaurant,,,Latin American,,"197 Havermayer Street, Brooklyn, NY 11211",718.388.8884,http://maps.google.com/maps?q=197+Havemeyer+Street&ie=UTF8&oe=utf-8&client=firefox-a&z=16&iwloc=addr
